7bd932ffa2e9b359cb0544615973d149;5;5;3;3
3ca2bb895e204478c7a4c9baf70970ce;4;9;3;2
f88a52eb62019d6a62fdd9e08034dbd8;4;5;0;0
459a5755afbb1cb3e67ca4c1296599e3;3;3;0;0
670205944b0f9d4fe47b86d7f6cc0a16;3;3;0;0
ba4e1a60bd20ca7978c76d79f19e37f0;3;4;0;0
0f498e1e332f1c1fbf32b558805ed0d5;2;2;0;0
4087f52a17eb28592a7dc0d8440a980e;2;3;0;0
adc7ad3c261d2753cb7a2fe73a66c210;2;3;0;0
f7b53b4bd50c13d17f5c54f82cde7836;2;3;0;0
0920b14aa67a8b04acf48ffe7c6f0927;1;1;0;0
09d786401f6ca6aeb16b2811b169f944;1;1;0;0
316de5eae273187a16e57f2931296079;1;1;0;0
99ee3107f860c98ca71f1b547f18be6f;1;1;0;0
a475b7bb0cccfd848aa26075e81d7888;1;2;0;0
a63dc5c2ea944e6657203e0c8edeaf61;1;1;0;0
acbc1fb1950ac0c41944a6c8917032ef;1;1;0;0
bf1ead0561f37cea65f76dd276f90e04;1;1;1;1
